model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
meta_1,1,90.1,90.37,90.1,89.6,89.6,80.23,90.04,341.97,88.58,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}"
meta_2,2,92.74,92.78,92.74,92.5,92.5,85.38,92.72,250.78,91.62,"{'C': 1.75, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
meta_3,3,94.72,94.72,94.72,94.68,94.68,89.35,94.72,182.39,93.94,"{'priors': None, 'var_smoothing': 0.0}"
meta_4,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,"{'activation': 'relu', 'alpha': 0.00041, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 100, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'solver': 'adam', 'tol': 0.00041, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
meta_5,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,"{'C': 1.4, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
meta_6,6,83.17,83.52,83.17,82.47,82.47,66.22,83.0,581.35,80.57,"{'covariance_estimator': None, 'n_components': None, 'priors': None, 'shrinkage': 0.0, 'solver': 'lsqr', 'store_covariance': False, 'tol': 0.0001}"
meta_7,7,92.41,92.47,92.41,92.14,92.14,84.73,92.39,262.18,91.24,"{'priors': None, 'reg_param': 0.5, 'store_covariance': False, 'tol': 1e-05}"
meta_8,8,93.73,93.74,93.73,93.71,93.71,87.37,93.73,216.58,92.82,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 117, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
meta_9,9,95.38,95.42,95.38,95.46,95.46,90.74,95.38,159.59,94.75,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 132, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
meta_10,10,90.1,90.17,90.1,89.78,89.78,80.06,90.07,341.97,88.58,"{'algorithm': 'SAMME', 'base_estimator': None, 'learning_rate': 1.2, 'n_estimators': 55, 'random_state': 42}"
meta_11,11,94.39,94.39,94.39,94.31,94.31,88.68,94.39,193.78,93.55,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'deviance', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 88, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
