model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
1,1,0.574371585,0.572893045,0.574371585,0.564670515,1,1,1,0
2,1,0.574371585,0.572893045,0.574371585,0.564670515,1,1,1,0
3,1,0.590928962,0.595746623,0.590928962,0.606505532,0.7023998,0.520652509,0.699109892,0.512723986
4,1,0.574371585,0.572893045,0.574371585,0.60130271,1,1,1,0
5,1,0.620765027,0.619264211,0.620765027,0.620951579,0.774427337,0.552827356,0.77808636,0.69802817
6,1,0.607595628,0.60624259,0.607595628,0.612365721,1,1,1,0
7,1,0.637213115,0.63984907,0.637213115,0.625012025,0.726101883,0.493236747,0.731821302,0.782265636
8,1,0.630437159,0.631607251,0.630437159,0.625440917,1,1,1,0
9,1,0.62726776,0.626227735,0.62726776,0.642195767,0.74358919,0.49230556,0.747874788,0.804462544
10,1,0.610874317,0.610050196,0.610874317,0.639357864,1,1,1,0
11,1,0.607377049,0.605802088,0.607377049,0.63780263,0.696451208,0.42726316,0.701304057,0.854836629
12,1,0.620546448,0.619986758,0.620546448,0.638351772,1,1,1,0
13,1,0.603934426,0.604684667,0.603934426,0.630880231,0.701868604,0.411200894,0.706950807,0.867456806
14,1,0.614098361,0.612459814,0.614098361,0.63866843,1,1,1,0
15,1,0.620546448,0.619595508,0.620546448,0.643013468,0.70189996,0.430193206,0.707460439,0.89567388
16,1,0.630437159,0.629425634,0.630437159,0.643638769,1,1,1,0
17,1,0.62726776,0.62640074,0.62726776,0.655731922,0.684932473,0.377271893,0.690078467,0.897430957
18,1,0.637103825,0.636296307,0.637103825,0.652156486,1,1,1,0
19,1,0.617431694,0.615460115,0.617431694,0.664858907,0.691004886,0.399118099,0.696621324,0.91615044
20,1,0.633879781,0.631931836,0.633879781,0.658754209,1,1,1,0
21,1,0.624262295,0.622046982,0.624262295,0.670454546,0.69158704,0.390841857,0.696743446,0.927810676
22,1,0.617595628,0.614993586,0.617595628,0.663636364,1,1,1,0
23,1,0.610874317,0.6079978,0.610874317,0.669704986,0.68495252,0.384824129,0.690506856,0.938504961
24,1,0.630655738,0.628448535,0.630655738,0.66359628,1,1,1,0
25,1,0.633879781,0.632358276,0.633879781,0.671761263,0.684299793,0.371675077,0.688499788,0.938657641
26,1,0.620765027,0.618301695,0.620765027,0.667797018,1,1,1,0
27,1,0.623934426,0.623043384,0.623934426,0.668041526,0.662563129,0.336239496,0.667908342,0.93795233
28,1,0.63726776,0.635384858,0.63726776,0.665496232,1,1,1,0
29,1,0.623879781,0.622674963,0.623879781,0.663395863,0.673421346,0.350934117,0.678022621,0.956516361
30,1,0.627322404,0.624984196,0.627322404,0.660084977,1,1,1,0
31,1,0.633825137,0.63415427,0.633825137,0.662425846,0.673448644,0.356756736,0.678821151,0.958297412
32,1,0.63726776,0.635167412,0.63726776,0.661079044,1,1,1,0
33,1,0.623825137,0.622033809,0.623825137,0.659636043,0.688522636,0.379061344,0.692263492,0.97706453
34,1,0.620655738,0.617939851,0.620655738,0.658521725,1,1,1,0
35,1,0.627213115,0.626633572,0.627213115,0.660449735,0.686156997,0.384272984,0.691668484,0.984656937
36,1,0.640546448,0.638816029,0.640546448,0.658994709,1,1,1,0
37,1,0.640437159,0.639279877,0.640437159,0.661612153,0.679476911,0.364097283,0.684275024,0.982239082
38,1,0.627377049,0.624925294,0.627377049,0.660181177,1,1,1,0
39,1,0.630491803,0.630314653,0.630491803,0.658978676,0.676475351,0.363629,0.681894372,0.980524883
40,1,0.623934426,0.621363761,0.623934426,0.661239378,1,1,1,0
41,1,0.630546448,0.629589533,0.630546448,0.659407568,0.6831035,0.370977164,0.687793202,0.984277953
42,1,0.624098361,0.62188179,0.624098361,0.659964727,1,1,1,0
43,1,0.617322404,0.61717152,0.617322404,0.652605419,0.676475351,0.363629,0.681894372,0.986170063
44,1,0.623989071,0.621347985,0.623989071,0.655804073,1,1,1,0
45,1,0.614098361,0.612338753,0.614098361,0.651210518,0.681305121,0.37044103,0.686514321,0.989560151
46,1,0.62726776,0.625006305,0.62726776,0.657607824,1,1,1,0
47,1,0.607431694,0.605843078,0.607431694,0.651835819,0.692210139,0.398289482,0.697818178,0.998586139
48,1,0.630655738,0.628732156,0.630655738,0.657816258,1,1,1,0
49,1,0.623879781,0.622399928,0.623879781,0.616738817,1,1,1,0
50,1,0.623879781,0.622399928,0.623879781,0.616738817,1,1,1,0
51,1,0.604098361,0.607403457,0.604098361,0.638411897,0.77873651,0.638254039,0.785824501,0.420202365
52,1,0.623879781,0.622399928,0.623879781,0.644729036,1,1,1,0
53,1,0.650327869,0.649550291,0.650327869,0.681004489,0.79195574,0.586481707,0.794932946,0.633651433
54,1,0.64704918,0.646151355,0.64704918,0.679465288,1,1,1,0
55,1,0.663497268,0.67523633,0.663497268,0.702545294,0.756357658,0.557374454,0.763103218,0.693888935
56,1,0.663497268,0.664182332,0.663497268,0.700737534,1,1,1,0
57,1,0.683169399,0.684048671,0.683169399,0.719684945,0.78654191,0.579781013,0.790880671,0.716197979
58,1,0.670054645,0.670757891,0.670054645,0.719031586,1,1,1,0
59,1,0.683169399,0.691124943,0.683169399,0.722663139,0.750911659,0.538995598,0.757561027,0.741777017
60,1,0.676666667,0.676637012,0.676666667,0.719977553,1,1,1,0
61,1,0.676830601,0.676323519,0.676830601,0.718506494,0.78589724,0.573368352,0.788490579,0.761154595
62,1,0.670218579,0.669298371,0.670218579,0.717672759,1,1,1,0
