model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
1,1,0.938550874,0.943931915,0.938550874,0.941591444,1,1,1,0
2,1,0.938550874,0.943931915,0.938550874,0.941591444,1,1,1,0
3,1,0.941397739,0.951732974,0.941397739,0.973371556,0.968290732,0.914371216,0.959011197,0.376423204
4,1,0.938550874,0.943931915,0.938550874,0.973264126,1,1,1,0
5,1,0.952816033,0.957770019,0.952816033,0.978161524,0.977048314,0.936840927,0.970231761,0.501926682
6,1,0.954254882,0.959556595,0.954254882,0.978683876,1,1,1,0
7,1,0.958530319,0.959928308,0.958530319,0.971432964,0.974341521,0.940741525,0.972932572,0.613685162
8,1,0.955662898,0.957180856,0.955662898,0.971616145,1,1,1,0
9,1,0.958540596,0.959331015,0.958540596,0.972607809,0.968331273,0.936672163,0.971387697,0.674272804
10,1,0.961408016,0.962258233,0.961408016,0.972540997,1,1,1,0
11,1,0.959979445,0.961016277,0.959979445,0.974223577,0.967134661,0.930686276,0.968586966,0.71858567
12,1,0.961408016,0.962507339,0.961408016,0.974178536,1,1,1,0
13,1,0.957122302,0.958154365,0.957122302,0.978734097,0.964073263,0.927249144,0.967111933,0.755707035
14,1,0.955693731,0.956725466,0.955693731,0.978576954,1,1,1,0
15,1,0.957122302,0.958125399,0.957122302,0.979427294,0.968118561,0.930913874,0.968616192,0.784527747
16,1,0.959979445,0.961053791,0.959979445,0.979315659,1,1,1,0
17,1,0.954254882,0.95552228,0.954254882,0.981481558,0.965058827,0.927428718,0.967143557,0.807391601
18,1,0.957122302,0.958346424,0.957122302,0.981371264,1,1,1,0
19,1,0.957122302,0.958305277,0.957122302,0.983589157,0.966043385,0.927644307,0.967174467,0.793802735
20,1,0.955693731,0.956960463,0.955693731,0.983817724,1,1,1,0
21,1,0.958550874,0.959290678,0.958550874,0.983677801,0.966043385,0.927644307,0.967174467,0.799664592
22,1,0.957122302,0.958104115,0.957122302,0.984063166,1,1,1,0
23,1,0.959979445,0.960635492,0.959979445,0.983904936,0.964951992,0.924617098,0.965763119,0.817536758
24,1,0.958550874,0.959290678,0.958550874,0.984155275,1,1,1,0
25,1,0.958550874,0.959290678,0.958550874,0.983928206,0.961891734,0.921114271,0.964286475,0.844071404
26,1,0.958550874,0.959290678,0.958550874,0.983998289,1,1,1,0
27,1,0.959979445,0.960635492,0.959979445,0.98363563,0.964951992,0.924617098,0.965763119,0.866305785
28,1,0.957122302,0.957962337,0.957122302,0.983771403,1,1,1,0
29,1,0.957112025,0.957852495,0.957112025,0.983885968,0.962982557,0.924174162,0.96569861,0.877316793
30,1,0.959979445,0.960676639,0.959979445,0.984157301,1,1,1,0
31,1,0.958550874,0.959290678,0.958550874,0.983864694,0.965058827,0.927428718,0.967143557,0.88508602
32,1,0.955693731,0.956649181,0.955693731,0.983977513,1,1,1,0
33,1,0.959989723,0.960745167,0.959989723,0.985472951,0.962982557,0.924174162,0.96569861,0.894988028
34,1,0.959989723,0.960802787,0.959989723,0.985109759,1,1,1,0
35,1,0.959989723,0.960745167,0.959989723,0.985132841,0.962982557,0.924174162,0.96569861,0.922416298
36,1,0.961418294,0.962188748,0.961418294,0.984860228,1,1,1,0
37,1,0.961418294,0.962131128,0.961418294,0.984930128,0.960905849,0.920922548,0.964252101,0.936510318
38,1,0.959989723,0.960802787,0.959989723,0.984567154,1,1,1,0
39,1,0.961418294,0.962131128,0.961418294,0.984749842,0.958724539,0.914799824,0.961429393,0.948449973
40,1,0.959989723,0.960802787,0.959989723,0.984476575,1,1,1,0
41,1,0.959989723,0.960802787,0.959989723,0.985724229,0.961996328,0.924006596,0.965665236,0.961585576
42,1,0.961418294,0.962131128,0.961418294,0.98545118,1,1,1,0
43,1,0.959989723,0.960802787,0.959989723,0.98719877,0.961996328,0.924006596,0.965665236,0.961356184
44,1,0.959989723,0.960875592,0.959989723,0.987173942,1,1,1,0
45,1,0.961418294,0.962188748,0.961418294,0.988880543,0.961996328,0.924006596,0.965665236,0.977116574
46,1,0.961418294,0.962188748,0.961418294,0.988765353,1,1,1,0
47,1,0.961418294,0.962188748,0.961418294,0.988609459,0.961996328,0.924006596,0.965665236,0.990707621
48,1,0.961418294,0.962188748,0.961418294,0.988696327,1,1,1,0
49,1,0.964254882,0.965602257,0.964254882,0.959181114,1,1,1,0
50,1,0.964254882,0.965602257,0.964254882,0.959181114,1,1,1,0
51,1,0.967112025,0.968639567,0.967112025,0.971445864,0.987984233,0.966115998,0.984343158,0.202689418
52,1,0.964254882,0.965602257,0.964254882,0.971787528,1,1,1,0
53,1,0.959989723,0.961950941,0.959989723,0.982241055,0.980783877,0.956100977,0.980028486,0.338381779
54,1,0.959989723,0.961950941,0.959989723,0.982264512,1,1,1,0
55,1,0.964275437,0.965674876,0.964275437,0.981228366,0.979691834,0.95305965,0.97861174,0.438688669
56,1,0.962846865,0.964197709,0.962846865,0.981476089,1,1,1,0
57,1,0.957122302,0.958877604,0.957122302,0.98576312,0.97248386,0.943135615,0.974273958,0.494773748
58,1,0.957122302,0.958877604,0.957122302,0.986101921,1,1,1,0
59,1,0.961418294,0.96284313,0.961418294,0.988889024,0.972376642,0.940249492,0.972883255,0.535602393
60,1,0.959989723,0.961553811,0.959989723,0.989316845,1,1,1,0
61,1,0.952846865,0.955065231,0.952846865,0.988819998,0.967240574,0.933575741,0.969971765,0.571298909
62,1,0.954275437,0.956419254,0.954275437,0.989068406,1,1,1,0
63,1,0.952846865,0.955214279,0.952846865,0.98863993,0.970301446,0.936994759,0.971442697,0.585195232
64,1,0.955704008,0.957648894,0.955704008,0.98906797,1,1,1,0
65,1,0.951418294,0.953962114,0.951418294,0.988527767,0.965163852,0.930339379,0.968526466,0.610259321
66,1,0.954275437,0.956568302,0.954275437,0.988956274,1,1,1,0
67,1,0.955704008,0.957765172,0.955704008,0.989434438,0.972376642,0.940249492,0.972883255,0.638054225
68,1,0.954275437,0.956317395,0.954275437,0.989681785,1,1,1,0
69,1,0.954275437,0.956317395,0.954275437,0.989927603,0.965163852,0.930339379,0.968526466,0.660833572
70,1,0.954275437,0.956317395,0.954275437,0.990063036,1,1,1,0
71,1,0.955704008,0.957584684,0.955704008,0.991608285,0.967240574,0.933575741,0.969971765,0.671449678
72,1,0.955704008,0.957648894,0.955704008,0.991856505,1,1,1,0
73,1,0.954275437,0.956317395,0.954275437,0.991381617,0.965163852,0.930339379,0.968526466,0.672113443
74,1,0.955704008,0.957648894,0.955704008,0.991901358,1,1,1,0
75,1,0.955704008,0.957584684,0.955704008,0.99158695,0.967240574,0.933575741,0.969971765,0.677541286
76,1,0.954275437,0.956317395,0.954275437,0.991925314,1,1,1,0
77,1,0.955704008,0.957540382,0.955704008,0.991384456,0.964176937,0.930220885,0.968495181,0.688674356
78,1,0.954275437,0.95639673,0.954275437,0.991609595,1,1,1,0
79,1,0.955704008,0.957648894,0.955704008,0.991518578,0.966149759,0.930494647,0.968557059,0.700271711
80,1,0.954275437,0.95639673,0.954275437,0.991923567,1,1,1,0
81,1,0.955704008,0.957648894,0.955704008,0.991383364,0.965163852,0.930339379,0.968526466,0.712634545
82,1,0.954275437,0.95639673,0.954275437,0.991924003,1,1,1,0
83,1,0.955704008,0.957648894,0.955704008,0.991654666,0.964073263,0.927249144,0.967111933,0.727226756
84,1,0.954275437,0.95639673,0.954275437,0.991992812,1,1,1,0
85,1,0.955704008,0.957648894,0.955704008,0.99163224,0.963086691,0.927105986,0.967079589,0.745837135
86,1,0.954275437,0.95639673,0.954275437,0.992038101,1,1,1,0
87,1,0.955704008,0.957648894,0.955704008,0.991586295,0.961996328,0.924006596,0.965665236,0.758248822
88,1,0.954275437,0.95639673,0.954275437,0.992082518,1,1,1,0
89,1,0.954275437,0.95639673,0.954275437,0.991518142,0.962099107,0.926999661,0.967046518,0.771538787
90,1,0.954275437,0.95639673,0.954275437,0.992059436,1,1,1,0
91,1,0.954275437,0.95639673,0.954275437,0.991450207,0.963086691,0.927105986,0.967079589,0.780266731
92,1,0.954275437,0.95639673,0.954275437,0.991968856,1,1,1,0
93,1,0.954275437,0.95639673,0.954275437,0.991292129,0.961009087,0.923875499,0.965631107,0.793818909
94,1,0.954275437,0.95639673,0.954275437,0.991810342,1,1,1,0
95,1,0.954275437,0.95639673,0.954275437,0.991224413,0.961996328,0.924006596,0.965665236,0.800774481
96,1,0.954275437,0.95639673,0.954275437,0.991855195,1,1,1,0
97,1,0.948530319,0.950028586,0.948530319,0.940365561,1,1,1,0
98,1,0.948530319,0.950028586,0.948530319,0.940365561,1,1,1,0
