model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
298,1,96.43,96.59,96.43,98.64,100.0,100.0,100.0,0.0,86.01,"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'n_neighbors': 16, 'weights': 'uniform'}"
346,1,96.43,96.59,96.43,98.64,100.0,100.0,100.0,0.0,86.01,"{'algorithm': 'ball_tree', 'metric': 'chebyshev', 'n_neighbors': 13, 'weights': 'distance'}"
490,1,96.43,96.59,96.43,98.54,100.0,100.0,100.0,0.0,86.0,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}"
538,1,96.43,96.59,96.43,98.54,100.0,100.0,100.0,0.0,86.0,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
544,1,96.28,96.42,96.28,98.82,100.0,100.0,100.0,0.0,85.98,"{'algorithm': 'brute', 'metric': 'chebyshev', 'n_neighbors': 4, 'weights': 'distance'}"
717,2,96.57,96.68,96.57,98.7,97.87,95.29,97.86,2.56,84.94,"{'C': 2.3, 'kernel': 'linear'}"
697,2,96.57,96.68,96.57,98.67,97.87,95.29,97.86,6.78,84.94,"{'C': 1.75, 'kernel': 'sigmoid'}"
713,2,96.57,96.68,96.57,98.69,97.87,95.29,97.86,3.35,84.94,"{'C': 2.19, 'kernel': 'poly'}"
709,2,96.57,96.68,96.57,98.69,97.87,95.29,97.86,4.15,84.94,"{'C': 2.08, 'kernel': 'poly'}"
677,2,96.57,96.68,96.57,98.67,97.87,95.29,97.86,11.57,84.94,"{'C': 1.31, 'kernel': 'linear'}"
737,3,95.85,96.08,95.85,99.0,96.15,91.05,95.88,100.0,83.73,{'var_smoothing': 0.0}
1066,3,95.85,96.08,95.85,99.0,96.15,91.05,95.88,34.07,83.73,{'var_smoothing': 7.9e-08}
1079,3,95.85,96.08,95.85,99.0,96.15,91.05,95.88,31.46,83.73,{'var_smoothing': 8.12e-08}
1078,3,95.85,96.08,95.85,99.0,96.15,91.05,95.88,31.66,83.73,{'var_smoothing': 8.1e-08}
1077,3,95.85,96.08,95.85,99.0,96.15,91.05,95.88,31.86,83.73,{'var_smoothing': 8.08e-08}
1334,4,95.71,95.9,95.71,98.72,97.45,94.35,97.43,0.0,84.41,"{'activation': 'logistic', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1346,4,95.71,95.9,95.71,98.72,97.45,94.35,97.43,0.0,84.41,"{'activation': 'relu', 'alpha': 0.00021, 'max_iter': 100, 'solver': 'sgd', 'tol': 1e-05}"
1333,4,95.71,95.9,95.71,98.72,97.45,94.35,97.43,0.0,84.41,"{'activation': 'logistic', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1339,4,95.71,95.9,95.71,98.72,97.45,94.35,97.43,0.0,84.41,"{'activation': 'logistic', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'sgd', 'tol': 0.00081}"
