model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
1,1,0.664086241,0.67497768,0.664086241,0.644308176,1,1,1,0
2,1,0.664086241,0.67497768,0.664086241,0.644308176,1,1,1,0
3,1,0.622383499,0.69576975,0.622383499,0.681306429,0.857943339,0.685911312,0.820457011,0.465100909
4,1,0.664086241,0.67497768,0.664086241,0.690907058,1,1,1,0
5,1,0.679704609,0.683667565,0.679704609,0.703409154,0.812669364,0.626826909,0.830581113,0.672416813
6,1,0.6823105,0.685806606,0.6823105,0.709703354,1,1,1,0
7,1,0.664111705,0.691856266,0.664111705,0.720428372,0.789109451,0.557399356,0.789072895,0.750606864
8,1,0.694032765,0.692888458,0.694032765,0.726646751,1,1,1,0
9,1,0.723979289,0.720152782,0.723979289,0.736285115,0.761031166,0.544399021,0.794295176,0.811897098
10,1,0.722680587,0.718908992,0.722680587,0.740808526,1,1,1,0
11,1,0.714896868,0.7243783,0.714896868,0.751309224,0.747615712,0.486837286,0.763816036,0.866084198
12,1,0.723996265,0.72218781,0.723996265,0.75120615,1,1,1,0
13,1,0.731822426,0.727859755,0.731822426,0.758968554,0.72847814,0.48037396,0.765709953,0.896016707
14,1,0.729225023,0.725656423,0.729225023,0.758360936,1,1,1,0
15,1,0.720117138,0.72429407,0.720117138,0.768530748,0.741517905,0.481213125,0.763617297,0.909766283
16,1,0.722697564,0.718489048,0.722697564,0.76819392,1,1,1,0
17,1,0.733121127,0.72736203,0.733121127,0.76934696,0.735162099,0.492911931,0.77131798,0.915370759
18,1,0.730523725,0.725484825,0.730523725,0.770909154,1,1,1,0
19,1,0.721407351,0.72121583,0.721407351,0.773529001,0.753116149,0.505541556,0.77502756,0.922458401
20,1,0.727900857,0.721757123,0.727900857,0.773970999,1,1,1,0
21,1,0.738324421,0.733664151,0.738324421,0.77799406,0.722773786,0.470507483,0.761264869,0.92181749
22,1,0.733129616,0.728762656,0.733129616,0.778016073,1,1,1,0
23,1,0.729182582,0.731371704,0.729182582,0.77885325,0.731389211,0.466713673,0.758358062,0.935592837
24,1,0.734419829,0.729528255,0.734419829,0.779632076,1,1,1,0
25,1,0.74610814,0.740628435,0.74610814,0.781538784,0.727691948,0.484276276,0.767177396,0.949259509
26,1,0.737025719,0.732203319,0.737025719,0.780961565,1,1,1,0
27,1,0.734402852,0.732335773,0.734402852,0.783853948,0.740290418,0.489086867,0.769112154,0.953759007
28,1,0.737025719,0.731616677,0.737025719,0.785005591,1,1,1,0
29,1,0.739614634,0.73321236,0.739614634,0.782973096,0.731625032,0.495518642,0.771916689,0.958838206
30,1,0.733121127,0.727060101,0.733121127,0.783550315,1,1,1,0
31,1,0.73441134,0.73286232,0.73441134,0.783211041,0.739473361,0.490143546,0.769833001,0.965690211
32,1,0.733121127,0.72751296,0.733121127,0.78391789,1,1,1,0
33,1,0.739623122,0.73315949,0.739623122,0.781918588,0.724984406,0.485320823,0.767083343,0.97328296
34,1,0.731830914,0.725181009,0.731830914,0.783555206,1,1,1,0
35,1,0.731813938,0.728097152,0.731813938,0.783501747,0.727352058,0.473557322,0.76272666,0.975167709
36,1,0.725294967,0.719016854,0.725294967,0.785207897,1,1,1,0
37,1,0.734402852,0.72712485,0.734402852,0.780617051,0.720072748,0.471145752,0.761183357,0.97822869
38,1,0.731813938,0.725131535,0.731813938,0.78323515,1,1,1,0
39,1,0.734428317,0.728304774,0.734428317,0.781401118,0.722569535,0.464310996,0.758606982,0.984104823
40,1,0.727917834,0.721366916,0.727917834,0.78549406,1,1,1,0
41,1,0.737017231,0.731860353,0.737017231,0.78224738,0.708772353,0.458618828,0.754518125,0.987685299
42,1,0.731822426,0.725473166,0.731822426,0.785905311,1,1,1,0
43,1,0.730515236,0.725613745,0.730515236,0.782567086,0.72756156,0.479810364,0.765415226,0.988731911
44,1,0.722706052,0.715601896,0.722706052,0.786660377,1,1,1,0
45,1,0.72658518,0.721554034,0.72658518,0.783286862,0.707838218,0.45824334,0.754142257,0.991911695
46,1,0.726593668,0.718963987,0.726593668,0.789284417,1,1,1,0
47,1,0.725294967,0.720451609,0.725294967,0.781655486,0.716017229,0.455769762,0.754752282,0.996650957
48,1,0.720083185,0.712552336,0.720083185,0.789070929,1,1,1,0
49,1,0.6823105,0.682013091,0.6823105,0.647946192,1,1,1,0
50,1,0.6823105,0.682013091,0.6823105,0.647946192,1,1,1,0
51,1,0.645912911,0.696199587,0.645912911,0.690132774,0.886342921,0.737862416,0.856301542,0.430446332
52,1,0.6823105,0.682013091,0.6823105,0.697030398,1,1,1,0
53,1,0.705772006,0.701228333,0.705772006,0.729085605,0.819785679,0.672135187,0.85071878,0.593708265
54,1,0.705780494,0.702097382,0.705780494,0.731204053,1,1,1,0
55,1,0.709702063,0.723677626,0.709702063,0.752932215,0.798704046,0.57613141,0.797981362,0.722699442
56,1,0.714896868,0.70976772,0.714896868,0.754765898,1,1,1,0
57,1,0.731796961,0.72712137,0.731796961,0.76795283,0.769592925,0.559942457,0.801284466,0.78103555
58,1,0.725286478,0.721762925,0.725286478,0.768544025,1,1,1,0
59,1,0.726602156,0.731002046,0.726602156,0.774310622,0.793007965,0.580577431,0.808231318,0.799155556
60,1,0.727892369,0.721644734,0.727892369,0.777326345,1,1,1,0
61,1,0.734377387,0.728248677,0.734377387,0.781552411,0.753799482,0.543995303,0.793098958,0.826081326
