model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
480,1,76.44,76.13,76.44,81.26,100.0,100.0,100.0,0.0,76.28,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
288,1,76.44,76.13,76.44,81.26,100.0,100.0,100.0,0.0,76.28,"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}"
96,1,76.44,76.13,76.44,81.26,100.0,100.0,100.0,0.0,76.28,"{'algorithm': 'brute', 'metric': 'minkowski', 'n_neighbors': 21, 'weights': 'uniform'}"
476,1,76.31,75.82,76.31,80.75,100.0,100.0,100.0,0.0,76.15,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 24, 'weights': 'uniform'}"
92,1,76.31,75.82,76.31,80.75,100.0,100.0,100.0,0.0,76.15,"{'algorithm': 'brute', 'metric': 'minkowski', 'n_neighbors': 19, 'weights': 'uniform'}"
726,2,77.35,76.91,77.35,83.25,72.87,48.94,76.92,4.48,64.2,"{'C': 0.32, 'kernel': 'linear'}"
670,2,76.96,76.48,76.96,83.22,73.16,49.55,77.19,4.41,64.19,"{'C': 1.09, 'kernel': 'sigmoid'}"
642,2,76.7,76.24,76.7,83.2,73.26,49.84,77.31,4.51,64.16,"{'C': 4.39, 'kernel': 'linear'}"
638,2,76.7,76.24,76.7,83.19,73.26,49.84,77.31,4.53,64.16,"{'C': 4.28, 'kernel': 'linear'}"
674,2,77.09,76.62,77.09,83.25,72.97,49.23,77.04,4.36,64.16,"{'C': 1.2, 'kernel': 'poly'}"
774,3,75.13,74.61,75.13,81.72,72.8,46.85,76.02,92.4,62.79,{'var_smoothing': 2.62e-08}
763,3,75.13,74.61,75.13,81.72,72.8,46.85,76.02,94.66,62.79,{'var_smoothing': 2.42e-08}
761,3,75.13,74.61,75.13,81.72,72.8,46.85,76.02,95.07,62.79,{'var_smoothing': 2.4e-09}
760,3,75.13,74.61,75.13,81.72,72.8,46.85,76.02,95.27,62.79,{'var_smoothing': 2.38e-08}
759,3,75.13,74.61,75.13,81.72,72.8,46.85,76.02,95.48,62.79,{'var_smoothing': 2.36e-08}
1340,4,69.66,68.77,69.66,74.67,74.8,53.18,78.77,0.0,61.19,"{'activation': 'logistic', 'alpha': 0.00081, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1341,4,69.66,68.77,69.66,74.67,74.8,53.18,78.77,0.0,61.19,"{'activation': 'logistic', 'alpha': 0.00081, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1339,4,69.66,68.77,69.66,74.67,74.8,53.18,78.77,0.0,61.19,"{'activation': 'logistic', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'sgd', 'tol': 0.00081}"
1329,4,69.92,69.59,69.92,74.25,74.13,51.67,78.12,3.8,60.95,"{'activation': 'logistic', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00081}"
1353,4,69.4,68.31,69.4,74.75,73.87,52.69,78.37,1.48,60.85,"{'activation': 'tanh', 'alpha': 0.00021, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1725,5,77.22,76.81,77.22,83.3,73.94,51.34,77.97,0.07,64.72,"{'C': 0.575, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}"
1821,5,77.22,76.81,77.22,83.28,73.74,50.77,77.73,0.91,64.6,"{'C': 1.7, 'max_iter': 50, 'penalty': 'none', 'solver': 'lbfgs'}"
1749,5,77.22,76.77,77.22,83.26,73.56,50.7,77.67,1.53,64.55,"{'C': 1.55, 'max_iter': 50, 'penalty': 'l2', 'solver': 'saga'}"
1565,5,77.48,77.07,77.48,83.27,73.36,50.12,77.43,0.03,64.53,"{'C': 1.1, 'max_iter': 200, 'penalty': 'none', 'solver': 'sag'}"
1397,5,77.48,77.06,77.48,82.82,73.46,50.41,77.55,0.93,64.53,"{'C': 0.8, 'max_iter': 50, 'penalty': 'none', 'solver': 'sag'}"
1997,6,76.83,76.38,76.83,83.37,73.56,50.7,77.67,0.0,64.42,"{'shrinkage': 0.0, 'solver': 'lsqr'}"
1998,6,76.83,76.38,76.83,83.37,73.56,50.7,77.67,0.0,64.42,"{'shrinkage': 0.0, 'solver': 'eigen'}"
1999,6,76.31,75.77,76.31,82.46,71.74,47.47,76.18,4.34,63.28,"{'shrinkage': 0.05, 'solver': 'lsqr'}"
2000,6,76.31,75.77,76.31,82.46,71.74,47.47,76.18,4.34,63.28,"{'shrinkage': 0.5, 'solver': 'lsqr'}"
2001,6,76.31,75.81,76.31,82.0,71.46,47.11,75.99,5.93,63.12,"{'shrinkage': 0.5, 'solver': 'eigen'}"
2197,7,75.13,74.5,75.13,81.24,71.99,46.45,75.86,0.04,62.54,"{'reg_param': 0.0, 'tol': 1e-05}"
2200,7,75.13,74.5,75.13,81.24,71.99,46.45,75.86,0.04,62.54,"{'reg_param': 0.4, 'tol': 1e-05}"
2201,7,75.13,74.5,75.13,81.24,71.99,46.45,75.86,0.04,62.54,"{'reg_param': 0.4, 'tol': 0.00021}"
2198,7,75.13,74.5,75.13,81.24,71.99,46.45,75.86,0.04,62.54,"{'reg_param': 0.0, 'tol': 0.00021}"
2199,7,75.13,74.5,75.13,81.24,71.99,46.45,75.86,0.04,62.54,"{'reg_param': 0.04, 'tol': 1e-05}"
2602,8,77.48,77.39,77.48,83.02,100.0,100.0,100.0,29.73,76.92,"{'criterion': 'entropy', 'n_estimators': 75}"
2606,8,77.35,77.26,77.35,82.94,100.0,100.0,100.0,32.88,76.86,"{'criterion': 'entropy', 'n_estimators': 79}"
2605,8,77.35,77.23,77.35,82.94,100.0,100.0,100.0,39.61,76.86,"{'criterion': 'entropy', 'n_estimators': 78}"
2592,8,77.35,77.26,77.35,82.88,100.0,100.0,100.0,21.44,76.86,"{'criterion': 'entropy', 'n_estimators': 66}"
2604,8,77.22,77.12,77.22,82.97,100.0,100.0,100.0,39.39,76.82,"{'criterion': 'entropy', 'n_estimators': 77}"
2608,9,77.61,77.27,77.61,82.82,100.0,100.0,100.0,0.0,76.91,"{'criterion': 'gini', 'n_estimators': 61}"
2607,9,77.48,77.09,77.48,82.62,100.0,100.0,100.0,0.0,76.83,"{'criterion': 'gini', 'n_estimators': 60}"
2611,9,77.35,77.03,77.35,82.86,100.0,100.0,100.0,0.0,76.82,"{'criterion': 'entropy', 'n_estimators': 81}"
2609,9,77.22,76.88,77.22,82.83,100.0,100.0,100.0,0.0,76.77,"{'criterion': 'gini', 'n_estimators': 70}"
2612,9,77.22,76.87,77.22,82.8,100.0,100.0,100.0,0.0,76.76,"{'criterion': 'entropy', 'n_estimators': 82}"
2846,10,76.05,75.71,76.05,82.05,80.31,62.59,83.08,100.0,66.98,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 66}"
2831,10,75.53,75.21,75.53,82.2,80.68,63.21,83.37,98.35,66.97,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 76}"
2830,10,75.66,75.26,75.66,82.33,80.01,61.76,82.71,98.01,66.67,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 75}"
2832,10,75.79,75.53,75.79,82.02,79.65,61.62,82.64,98.13,66.63,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 77}"
2843,10,75.01,74.65,75.01,81.97,80.31,62.59,83.08,99.45,66.58,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 63}"
