model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
1,1,0.808548556,0.808795193,0.808548556,0.844430618,1,1,1,0
2,1,0.808548556,0.808795193,0.808548556,0.844430618,1,1,1,0
3,1,0.784921685,0.80052589,0.784921685,0.892711107,0.914329961,0.83725512,0.894626487,0.237454797
4,1,0.808548556,0.808795193,0.808548556,0.896378676,1,1,1,0
5,1,0.78729551,0.790323279,0.78729551,0.905690512,0.92756943,0.85459393,0.908723294,0.376668508
6,1,0.797932475,0.798892084,0.797932475,0.914110431,1,1,1,0
7,1,0.784893839,0.787785721,0.784893839,0.908240686,0.900532332,0.809662841,0.878988656,0.484452327
8,1,0.799115907,0.798935864,0.799115907,0.918615377,1,1,1,0
9,1,0.770734424,0.772366164,0.770734424,0.912528096,0.890026819,0.781611662,0.863514107,0.552747064
10,1,0.775468152,0.77572635,0.775468152,0.922110116,1,1,1,0
11,1,0.770727463,0.77391713,0.770727463,0.913918711,0.878149636,0.763266483,0.850296017,0.608844223
12,1,0.788478942,0.787463325,0.788478942,0.923898307,1,1,1,0
13,1,0.770755308,0.771463796,0.770755308,0.912974982,0.875611198,0.756095726,0.847556105,0.650583771
14,1,0.777848938,0.777188842,0.777848938,0.922987495,1,1,1,0
15,1,0.770741385,0.77477398,0.770741385,0.912729689,0.865342432,0.734890123,0.832637744,0.683852706
16,1,0.782589628,0.78254123,0.782589628,0.922657573,1,1,1,0
17,1,0.769550992,0.77204188,0.769550992,0.914979844,0.865651398,0.735963697,0.834365389,0.719065907
18,1,0.780222764,0.781598989,0.780222764,0.925148288,1,1,1,0
19,1,0.763612948,0.764932669,0.763612948,0.911105646,0.85496033,0.717510332,0.82173812,0.744518828
20,1,0.771917856,0.77254883,0.771917856,0.921831652,1,1,1,0
21,1,0.757716673,0.758416523,0.757716673,0.907059819,0.859243931,0.72572642,0.827726365,0.769064297
22,1,0.773115211,0.773267347,0.773115211,0.918885578,1,1,1,0
23,1,0.76127393,0.762980473,0.76127393,0.905002722,0.845366329,0.696526766,0.808861894,0.798501763
24,1,0.76719109,0.767054608,0.76719109,0.91709463,1,1,1,0
25,1,0.757737557,0.758589362,0.757737557,0.902541696,0.840456705,0.687515495,0.804579106,0.820300595
26,1,0.773101288,0.773844323,0.773101288,0.914866331,1,1,1,0
27,1,0.751813435,0.753825629,0.751813435,0.901049389,0.838061673,0.681951512,0.80078341,0.842105523
28,1,0.770734424,0.771420354,0.770734424,0.913212299,1,1,1,0
