model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
252,1,91.14,91.5,91.14,98.38,100.0,100.0,100.0,0.0,84.02,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}"
60,1,91.02,91.35,91.02,98.39,100.0,100.0,100.0,0.0,83.97,"{'algorithm': 'brute', 'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'distance'}"
444,1,90.9,91.26,90.9,98.39,100.0,100.0,100.0,0.0,83.93,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}"
54,1,91.26,91.4,91.26,97.39,100.0,100.0,100.0,0.0,83.91,"{'algorithm': 'brute', 'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'uniform'}"
442,1,90.67,90.97,90.67,98.31,100.0,100.0,100.0,0.0,83.83,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
638,2,95.86,96.05,95.86,99.39,98.85,97.72,98.58,2.67,85.29,"{'C': 4.28, 'kernel': 'linear'}"
642,2,95.75,95.94,95.75,99.39,98.85,97.72,98.58,2.56,85.25,"{'C': 4.39, 'kernel': 'linear'}"
634,2,95.75,95.93,95.75,99.39,98.85,97.72,98.58,2.64,85.24,"{'C': 0.43, 'kernel': 'sigmoid'}"
646,2,95.75,95.94,95.75,99.38,98.85,97.72,98.58,2.58,85.24,"{'C': 0.54, 'kernel': 'linear'}"
654,2,95.63,95.84,95.63,99.36,98.85,97.72,98.58,2.66,85.2,"{'C': 0.76, 'kernel': 'rbf'}"
737,3,60.29,71.78,60.29,82.95,69.66,41.39,56.93,100.0,55.41,{'var_smoothing': 0.0}
841,3,60.29,71.78,60.29,82.95,69.66,41.39,56.93,79.14,55.41,{'var_smoothing': 3.84e-08}
843,3,60.29,71.78,60.29,82.95,69.66,41.39,56.93,78.74,55.41,{'var_smoothing': 3.88e-08}
844,3,60.29,71.78,60.29,82.95,69.66,41.39,56.93,78.54,55.41,{'var_smoothing': 3.9e-08}
845,3,60.29,71.78,60.29,82.95,69.66,41.39,56.93,78.33,55.41,{'var_smoothing': 3.92e-08}
1317,4,85.82,86.31,85.82,96.67,92.45,84.17,89.77,2.83,77.63,"{'activation': 'logistic', 'alpha': 1e-05, 'max_iter': 100, 'solver': 'sgd', 'tol': 1e-05}"
