model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
196,1,96.43,96.46,96.43,96.29,96.29,92.13,96.44,62.09,83.81,"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}"
4,1,96.43,96.46,96.43,96.29,96.29,92.13,96.44,48.46,83.81,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
435,1,95.71,95.8,95.71,95.74,95.74,90.63,95.73,61.38,83.13,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}"
243,1,95.71,95.8,95.71,95.74,95.74,90.63,95.73,61.38,83.13,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}"
51,1,95.71,95.8,95.71,95.74,95.74,90.63,95.73,61.38,83.13,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 24, 'weights': 'distance'}"
657,2,95.0,95.03,95.0,94.7,94.7,88.97,95.01,24.1,82.3,"{'C': 0.76, 'kernel': 'sigmoid'}"
653,2,95.0,95.03,95.0,94.7,94.7,88.97,95.01,23.54,82.3,"{'C': 0.65, 'kernel': 'sigmoid'}"
613,2,95.0,95.03,95.0,94.7,94.7,88.97,95.01,18.31,82.3,"{'C': 3.62, 'kernel': 'poly'}"
617,2,95.0,95.03,95.0,94.7,94.7,88.97,95.01,18.18,82.3,"{'C': 3.73, 'kernel': 'poly'}"
621,2,95.0,95.03,95.0,94.7,94.7,88.97,95.01,18.31,82.3,"{'C': 3.84, 'kernel': 'poly'}"
737,3,94.29,94.38,94.29,94.16,94.16,87.49,94.31,100.0,81.63,{'var_smoothing': 0.0}
1066,3,94.29,94.38,94.29,94.16,94.16,87.49,94.31,34.07,81.63,{'var_smoothing': 7.9e-08}
1079,3,94.29,94.38,94.29,94.16,94.16,87.49,94.31,31.46,81.63,{'var_smoothing': 8.12e-08}
1078,3,94.29,94.38,94.29,94.16,94.16,87.49,94.31,31.66,81.63,{'var_smoothing': 8.1e-08}
1077,3,94.29,94.38,94.29,94.16,94.16,87.49,94.31,31.86,81.63,{'var_smoothing': 8.08e-08}
1329,4,96.43,96.57,96.43,96.78,96.78,92.29,96.45,1.4,83.97,"{'activation': 'logistic', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00081}"
1341,4,96.43,96.57,96.43,96.78,96.78,92.29,96.45,1.4,83.97,"{'activation': 'logistic', 'alpha': 0.00081, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1327,4,96.43,96.57,96.43,96.78,96.78,92.29,96.45,0.0,83.97,"{'activation': 'logistic', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1333,4,96.43,96.57,96.43,96.78,96.78,92.29,96.45,0.0,83.97,"{'activation': 'logistic', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1334,4,96.43,96.57,96.43,96.78,96.78,92.29,96.45,0.0,83.97,"{'activation': 'logistic', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1996,5,95.0,94.99,95.0,94.2,94.2,88.86,94.99,0.57,82.15,"{'C': 0.725, 'max_iter': 50, 'penalty': 'l2', 'solver': 'saga'}"
1564,5,95.0,94.99,95.0,94.2,94.2,88.86,94.99,12.67,82.15,"{'C': 1.1, 'max_iter': 200, 'penalty': 'none', 'solver': 'newton-cg'}"
1544,5,95.0,94.99,95.0,94.2,94.2,88.86,94.99,0.24,82.15,"{'C': 1.1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}"
1808,5,95.0,94.99,95.0,94.2,94.2,88.86,94.99,83.16,82.15,"{'C': 1.625, 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs'}"
1807,5,95.0,94.99,95.0,94.2,94.2,88.86,94.99,11.55,82.15,"{'C': 1.625, 'max_iter': 150, 'penalty': 'none', 'solver': 'saga'}"
1997,6,94.29,94.27,94.29,93.16,93.15,87.24,94.26,0.0,81.33,"{'shrinkage': 0.0, 'solver': 'lsqr'}"
2117,6,94.29,94.27,94.29,93.16,93.15,87.24,94.26,33.47,81.33,"{'shrinkage': 0.13, 'solver': 'eigen'}"
2109,6,94.29,94.27,94.29,93.16,93.15,87.24,94.26,29.7,81.33,"{'shrinkage': 0.01, 'solver': 'lsqr'}"
2110,6,94.29,94.27,94.29,93.16,93.15,87.24,94.26,29.7,81.33,"{'shrinkage': 0.1, 'solver': 'lsqr'}"
2111,6,94.29,94.27,94.29,93.16,93.15,87.24,94.26,30.61,81.33,"{'shrinkage': 0.1, 'solver': 'eigen'}"
2322,7,94.29,94.38,94.29,94.16,94.16,87.49,94.31,18.52,81.63,"{'reg_param': 0.84, 'tol': 1e-05}"
2323,7,94.29,94.38,94.29,94.16,94.16,87.49,94.31,18.52,81.63,"{'reg_param': 0.84, 'tol': 0.00021}"
2314,7,94.29,94.38,94.29,94.16,94.16,87.49,94.31,15.71,81.63,"{'reg_param': 0.8, 'tol': 0.00061}"
2315,7,94.29,94.38,94.29,94.16,94.16,87.49,94.31,15.71,81.63,"{'reg_param': 0.8, 'tol': 0.00081}"
2316,7,94.29,94.38,94.29,94.16,94.16,87.49,94.31,15.71,81.63,"{'reg_param': 0.82, 'tol': 1e-05}"
2447,8,95.71,95.71,95.71,95.24,95.24,90.49,95.71,66.76,82.98,"{'criterion': 'gini', 'n_estimators': 60}"
