model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
249,1,77.05,77.78,77.05,76.08,76.08,54.13,76.63,4.08,64.35,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}"
440,1,77.05,77.78,77.05,76.08,76.08,54.13,76.63,7.9,64.35,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}"
250,1,77.05,77.78,77.05,76.08,76.08,54.13,76.63,4.04,64.35,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}"
252,1,77.05,77.78,77.05,76.08,76.08,54.13,76.63,0.02,64.35,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}"
60,1,77.05,77.78,77.05,76.08,76.08,54.13,76.63,0.03,64.35,"{'algorithm': 'brute', 'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'distance'}"
606,2,85.25,85.24,85.25,85.01,85.01,70.25,85.22,1.69,72.65,"{'C': 3.51, 'kernel': 'rbf'}"
586,2,85.25,85.24,85.25,85.01,85.01,70.25,85.22,0.14,72.65,"{'C': 2.96, 'kernel': 'poly'}"
598,2,85.25,85.24,85.25,85.01,85.01,70.25,85.22,0.77,72.65,"{'C': 3.29, 'kernel': 'linear'}"
610,2,85.25,85.24,85.25,85.01,85.01,70.25,85.22,2.02,72.65,"{'C': 3.62, 'kernel': 'rbf'}"
614,2,85.25,85.24,85.25,85.01,85.01,70.25,85.22,1.94,72.65,"{'C': 3.62, 'kernel': 'sigmoid'}"
737,3,78.69,79.75,78.69,79.22,79.22,58.44,78.69,100.0,66.59,{'var_smoothing': 0.0}
1066,3,78.69,79.75,78.69,79.22,79.22,58.44,78.69,34.0,66.59,{'var_smoothing': 7.9e-08}
1079,3,78.69,79.75,78.69,79.22,79.22,58.44,78.69,31.4,66.59,{'var_smoothing': 8.12e-08}
1078,3,78.69,79.75,78.69,79.22,79.22,58.44,78.69,31.6,66.59,{'var_smoothing': 8.1e-08}
1077,3,78.69,79.75,78.69,79.22,79.22,58.44,78.69,31.8,66.59,{'var_smoothing': 8.08e-08}
1237,4,81.97,83.08,81.97,82.52,82.52,65.04,81.97,9.32,69.88,"{'activation': 'relu', 'alpha': 1e-05, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1249,4,81.97,83.08,81.97,82.52,82.52,65.04,81.97,7.47,69.88,"{'activation': 'tanh', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1263,4,81.97,83.08,81.97,82.52,82.52,65.04,81.97,9.65,69.88,"{'activation': 'relu', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00081}"
1262,4,81.97,83.08,81.97,82.52,82.52,65.04,81.97,9.65,69.88,"{'activation': 'relu', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1261,4,81.97,83.08,81.97,82.52,82.52,65.04,81.97,9.65,69.88,"{'activation': 'relu', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1721,5,86.89,87.4,86.89,86.26,86.25,73.97,86.76,2.06,74.3,"{'C': 1.475, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}"
1977,5,86.89,87.4,86.89,86.26,86.25,73.97,86.76,2.06,74.3,"{'C': 0.65, 'max_iter': 150, 'penalty': 'l2', 'solver': 'newton-cg'}"
1945,5,86.89,87.4,86.89,86.26,86.25,73.97,86.76,2.06,74.3,"{'C': 1.925, 'max_iter': 150, 'penalty': 'none', 'solver': 'lbfgs'}"
1973,5,86.89,87.4,86.89,86.26,86.25,73.97,86.76,2.04,74.3,"{'C': 0.65, 'max_iter': 100, 'penalty': 'none', 'solver': 'sag'}"
1453,5,86.89,87.4,86.89,86.26,86.25,73.97,86.76,9.33,74.3,"{'C': 0.875, 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cg'}"
1997,6,86.89,87.4,86.89,86.26,86.25,73.97,86.76,0.0,74.3,"{'shrinkage': 0.0, 'solver': 'lsqr'}"
1998,6,86.89,87.4,86.89,86.26,86.25,73.97,86.76,0.0,74.3,"{'shrinkage': 0.0, 'solver': 'eigen'}"
1999,6,73.77,73.73,73.77,73.32,73.32,47.0,73.67,54.18,61.07,"{'shrinkage': 0.05, 'solver': 'lsqr'}"
2000,6,73.77,73.73,73.77,73.32,73.32,47.0,73.67,54.18,61.07,"{'shrinkage': 0.5, 'solver': 'lsqr'}"
2001,6,72.13,72.08,72.13,71.81,71.81,43.76,72.09,71.2,59.47,"{'shrinkage': 0.5, 'solver': 'eigen'}"
2264,7,83.61,83.66,83.61,83.23,83.22,66.96,83.54,0.01,70.98,"{'reg_param': 0.62, 'tol': 0.00081}"
2274,7,83.61,83.66,83.61,83.23,83.22,66.96,83.54,0.0,70.98,"{'reg_param': 0.66, 'tol': 0.00061}"
2273,7,83.61,83.66,83.61,83.23,83.22,66.96,83.54,0.0,70.98,"{'reg_param': 0.66, 'tol': 0.00041}"
2272,7,83.61,83.66,83.61,83.23,83.22,66.96,83.54,0.0,70.98,"{'reg_param': 0.66, 'tol': 0.00021}"
2271,7,83.61,83.66,83.61,83.23,83.22,66.96,83.54,0.0,70.98,"{'reg_param': 0.66, 'tol': 1e-05}"
2606,8,83.61,83.66,83.61,83.23,83.22,66.96,83.54,24.62,70.98,"{'criterion': 'entropy', 'n_estimators': 79}"
2575,8,83.61,83.66,83.61,83.23,83.22,66.96,83.54,16.09,70.98,"{'criterion': 'gini', 'n_estimators': 130}"
