model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
362,1,78.57,78.54,78.57,72.85,72.63,51.05,77.41,1.86,63.7,"{'algorithm': 'ball_tree', 'metric': 'chebyshev', 'n_neighbors': 20, 'weights': 'distance'}"
506,1,78.57,78.54,78.57,72.85,72.63,51.05,77.41,1.86,63.7,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'}"
170,1,78.57,78.54,78.57,72.85,72.63,51.05,77.41,1.86,63.7,"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}"
314,1,78.57,78.54,78.57,72.85,72.63,51.05,77.41,1.86,63.7,"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'n_neighbors': 23, 'weights': 'uniform'}"
554,1,78.57,78.54,78.57,72.85,72.63,51.05,77.41,1.86,63.7,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 16, 'weights': 'distance'}"
714,2,76.62,76.07,76.62,71.78,71.61,46.67,75.82,0.17,61.9,"{'C': 2.19, 'kernel': 'sigmoid'}"
686,2,76.62,76.07,76.62,71.78,71.61,46.67,75.82,0.25,61.9,"{'C': 1.53, 'kernel': 'linear'}"
710,2,76.62,76.07,76.62,71.78,71.61,46.67,75.82,0.24,61.9,"{'C': 2.08, 'kernel': 'sigmoid'}"
634,2,76.62,76.07,76.62,71.78,71.61,46.67,75.82,1.81,61.9,"{'C': 0.43, 'kernel': 'sigmoid'}"
626,2,76.62,76.07,76.62,71.78,71.61,46.67,75.82,1.95,61.9,"{'C': 3.95, 'kernel': 'poly'}"
737,3,75.32,74.65,75.32,70.35,70.18,43.61,74.48,100.0,60.49,{'var_smoothing': 0.0}
1066,3,75.32,74.65,75.32,70.35,70.18,43.61,74.48,32.81,60.49,{'var_smoothing': 7.9e-08}
1079,3,75.32,74.65,75.32,70.35,70.18,43.61,74.48,30.25,60.49,{'var_smoothing': 8.12e-08}
1078,3,75.32,74.65,75.32,70.35,70.18,43.61,74.48,30.45,60.49,{'var_smoothing': 8.1e-08}
1077,3,75.32,74.65,75.32,70.35,70.18,43.61,74.48,30.65,60.49,{'var_smoothing': 8.08e-08}
1353,4,70.13,68.99,70.13,64.65,64.42,31.39,69.11,16.71,54.85,"{'activation': 'tanh', 'alpha': 0.00021, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1345,4,70.13,68.99,70.13,64.65,64.42,31.39,69.11,16.84,54.85,"{'activation': 'logistic', 'alpha': 0.00081, 'max_iter': 100, 'solver': 'sgd', 'tol': 0.00081}"
1346,4,70.13,68.99,70.13,64.65,64.42,31.39,69.11,16.84,54.85,"{'activation': 'relu', 'alpha': 0.00021, 'max_iter': 100, 'solver': 'sgd', 'tol': 1e-05}"
1352,4,70.13,68.99,70.13,64.65,64.42,31.39,69.11,16.71,54.85,"{'activation': 'tanh', 'alpha': 1e-05, 'max_iter': 100, 'solver': 'sgd', 'tol': 0.00081}"
1351,4,70.13,68.99,70.13,64.65,64.42,31.39,69.11,16.71,54.85,"{'activation': 'tanh', 'alpha': 1e-05, 'max_iter': 100, 'solver': 'sgd', 'tol': 0.00041}"
1717,5,78.57,78.14,78.57,74.56,74.45,51.53,78.06,1.13,64.23,"{'C': 1.475, 'max_iter': 50, 'penalty': 'none', 'solver': 'sag'}"
1781,5,78.57,78.14,78.57,74.56,74.45,51.53,78.06,0.74,64.23,"{'C': 1.625, 'max_iter': 50, 'penalty': 'l2', 'solver': 'lbfgs'}"
1589,5,78.57,78.14,78.57,74.56,74.45,51.53,78.06,0.0,64.23,"{'C': 1.175, 'max_iter': 150, 'penalty': 'l2', 'solver': 'saga'}"
