model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
452,1,70.31,70.36,70.31,72.5,100.0,100.0,100.0,0.0,72.93,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}"
288,1,69.62,69.8,69.62,73.91,100.0,100.0,100.0,0.0,72.87,"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}"
96,1,69.29,69.48,69.29,73.84,100.0,100.0,100.0,0.0,72.74,"{'algorithm': 'brute', 'metric': 'minkowski', 'n_neighbors': 21, 'weights': 'uniform'}"
480,1,69.29,69.48,69.29,73.82,100.0,100.0,100.0,0.0,72.73,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
458,1,69.64,69.61,69.64,72.85,100.0,100.0,100.0,0.0,72.72,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}"
694,2,82.5,82.92,82.5,89.98,85.43,72.38,85.99,0.62,72.71,"{'C': 1.75, 'kernel': 'rbf'}"
650,2,82.83,83.3,82.83,90.14,85.07,71.75,85.65,0.71,72.7,"{'C': 0.65, 'kernel': 'rbf'}"
646,2,82.83,83.3,82.83,90.15,85.07,71.75,85.65,0.69,72.7,"{'C': 0.54, 'kernel': 'linear'}"
642,2,82.83,83.3,82.83,90.19,85.07,71.75,85.65,0.68,72.7,"{'C': 4.39, 'kernel': 'linear'}"
654,2,82.83,83.3,82.83,90.09,85.07,71.75,85.65,0.69,72.69,"{'C': 0.76, 'kernel': 'rbf'}"
737,3,80.51,80.65,80.51,89.18,83.79,68.01,84.11,100.0,70.84,{'var_smoothing': 0.0}
1066,3,80.51,80.65,80.51,89.18,83.79,68.01,84.11,34.0,70.84,{'var_smoothing': 7.9e-08}
1079,3,80.51,80.65,80.51,89.18,83.79,68.01,84.11,31.4,70.84,{'var_smoothing': 8.12e-08}
1078,3,80.51,80.65,80.51,89.18,83.79,68.01,84.11,31.6,70.84,{'var_smoothing': 8.1e-08}
1077,3,80.51,80.65,80.51,89.18,83.79,68.01,84.11,31.8,70.84,{'var_smoothing': 8.08e-08}
